Category,Indicator,Year,LQ,Employment, Annual Wage ,Establishments,Employees per Firm,WQ,Payroll
Natural resources and mining,Econ Data,1998,0.06,341,24115,63,5.41,0.06,8223215
Natural resources and mining,Econ Data,1999,0.07,395,22358,57,6.93,0.06,8831410
Natural resources and mining,Econ Data,2000,0.06,363,24276,57,6.37,0.06,8812188
Natural resources and mining,Econ Data,2001,0.08,316,23541,52,6.08,0.04,7438956
Natural resources and mining,Econ Data,2002,0.08,442,19177,49,9.02,0.05,8476234
Natural resources and mining,Econ Data,2003,0.06,342,21990,48,7.13,0.05,7520580
Natural resources and mining,Econ Data,2004,0.05,295,23789,50,5.9,0.04,7017755
Natural resources and mining,Econ Data,2005,0.04,218,25672,49,4.45,0.03,5596496
Natural resources and mining,Econ Data,2006,0.03,151,21113,45,3.36,0.01,3188063
Natural resources and mining,Econ Data,2007,0.02,139,25760,47,2.96,0.02,3580640
Natural resources and mining,Econ Data,2008,0.03,183,27183,57,3.21,0.02,4974489
Natural resources and mining,Econ Data,2009,0.03,152,23989,53,2.87,0.02,3646328
Natural resources and mining,Econ Data,2010,0.02,124,27227,52,2.38,0.01,3376148
Natural resources and mining,Econ Data,2011,0.02,131,32140,53,2.47,0.02,4210340
Natural resources and mining,Econ Data,2012,0.02,128,32586,53,2.42,0.01,4171008
Natural resources and mining,Econ Data,2013,0.02,101,25296,51,1.98,0.01,2554896
Natural resources and mining,Econ Data,2014,0.03,156,23678,62,2.52,0.01,3693768
Natural resources and mining,Econ Data,2015,0.02,133,27470,52,2.56,0.01,3653510
Natural resources and mining,Econ Data,2016,0.03,168,25715,55,3.05,0.02,4320120
Natural resources and mining,Econ Data,2017,0.02,116,38387,56,2.07,0.02,4452892
Construction,Econ Data,1998,1.04,"20,619",29119,"2,271",9.08,1.01,600404661
Construction,Econ Data,1999,0.98,"20,704",30112,"2,249",9.21,0.95,623438848
Construction,Econ Data,2000,0.95,"21,248",31581,"2,284",9.3,0.92,671033088
