Sector,Indicator,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Natural resources and mining,LQ,0.06,0.07,0.06,0.08,0.08,0.06,0.05,0.04,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,
Natural resources and mining,Employment,341,395,363,316,442,342,295,218,151,139,183,152,124,131,128,101,156,133,168,116,
Natural resources and mining, Annual Wage ,24115,22358,24276,23541,19177,21990,23789,25672,21113,25760,27183,23989,27227,32140,32586,25296,23678,27470,25715,38387,
Natural resources and mining,Establishments,63,57,57,52,49,48,50,49,45,47,57,53,52,53,53,51,62,52,55,56,
Natural resources and mining,Employees per Firm,5.41,6.93,6.37,6.08,9.02,7.13,5.9,4.45,3.36,2.96,3.21,2.87,2.38,2.47,2.42,1.98,2.52,2.56,3.05,2.07,
Natural resources and mining,WQ,0.06,0.06,0.06,0.04,0.05,0.05,0.04,0.03,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,
Natural resources and mining,Payroll,8223215,8831410,8812188,7438956,8476234,7520580,7017755,5596496,3188063,3580640,4974489,3646328,3376148,4210340,4171008,2554896,3693768,3653510,4320120,4452892,
Construction,LQ,1.04,0.98,0.95,0.98,0.98,0.96,0.97,1.02,1.05,1.03,1.06,1.06,1.07,1.06,1.04,1.01,1.03,1.02,1.08,1.08,
Construction,Employment,"20,619","20,704","21,248","21,573","21,753","21,357","22,595","24,733","26,624","25,191","23,512","19,117","17,469","16,812","16,850","17,076","18,250","19,248","21,248","22,548",
Construction, Annual Wage ,29119,30112,31581,32560,33845,34518,35029,35684,37844,39150,40560,40344,40091,40418,40625,40142,41254,43495,47111,45879,
Construction,Establishments,"2,271","2,249","2,284","2,319","2,420","2,486","2,765","3,205","3,375","3,503","3,570","3,248","3,035","2,863","2,831","2,869","2,920","2,983","3,019","3,130",
Construction,Employees per Firm,9.08,9.21,9.3,9.3,8.99,8.59,8.17,7.72,7.89,7.19,6.59,5.89,5.76,5.87,5.95,5.95,6.25,6.45,7.04,7.2,
Construction,WQ,1.01,0.95,0.92,0.89,0.97,0.96,0.96,0.99,1.03,1.01,1.02,0.99,0.98,0.95,0.9,0.87,0.88,0.9,0.99,0.99,
Construction,Payroll,600404661,623438848,671033088,702416880,736230285,737200926,791480255,882572372,1007558656,986227650,953646720,771256248,700349679,679507416,684531250,685464792,752885500,837191760,1001014528,1034479692,
Manufacturing,LQ,0.68,0.73,0.75,0.78,0.78,0.76,0.77,0.8,0.8,0.83,0.88,0.89,0.89,0.91,0.88,0.87,0.85,0.86,0.88,0.89,
Manufacturing,Employment,"39,425","42,093","43,708","42,449","39,201","36,901","37,080","37,989","37,648","37,270","36,562","32,089","30,414","30,829","30,523","30,387","30,142","30,913","31,889","32,481",
Manufacturing, Annual Wage ,33051,36131,37304,38453,39752,41865,43140,43924,45813,47339,48458,50831,52616,54675,56613,56735,57140,59243,59525,56839,
Manufacturing,Establishments,"1,394","1,377","1,369","1,333","1,296","1,284","1,273","1,256","1,222","1,225","1,283","1,249","1,253","1,280","1,271","1,291","1,306","1,303","1,291","1,343",
Manufacturing,Employees per Firm,28.28,30.57,31.93,31.84,30.25,28.74,29.13,30.25,30.81,30.42,28.5,25.69,24.27,24.09,24.01,23.54,23.08,23.72,24.7,24.19,
